"","Contributor","Total","PACs","Individuals","Senator"
"1597","K Rowe Investments","$5800","$0","$5800","Lateefah Conner"
"1598","Law Office of Daniel R Crumby","$1000","$0","$1000","Lateefah Conner"
"1599","Fiserv Inc","$500","$0","$500","Lateefah Conner"
"1600","Wilson Brock & Irby","$459","$0","$459","Lateefah Conner"
"1601","Aps","$300","$0","$300","Lateefah Conner"
"1602","Been There Done That","$300","$0","$300","Lateefah Conner"
"1603","Former Atl City Council Woman","$300","$0","$300","Lateefah Conner"
"1604","Second Wind Dreams","$300","$0","$300","Lateefah Conner"
"1605","Battle Law","$250","$0","$250","Lateefah Conner"
"1606","City of Atlanta, GA","$250","$0","$250","Lateefah Conner"
"1607","Leidos Inc","$48550","$10000","$38550","Gerry Connolly"
"1608","Gba Assoc","$16800","$0","$16800","Gerry Connolly"
"1609","Fairfax County, VA","$14225","$0","$14225","Gerry Connolly"
"1610","Amazon.com","$13750","$10000","$3750","Gerry Connolly"
"1611","Granite Telecommunications","$11600","$0","$11600","Gerry Connolly"
"1612","Punaro Group","$11600","$0","$11600","Gerry Connolly"
"1613","Alyx Technologies","$11400","$0","$11400","Gerry Connolly"
"1614","Casepoint","$11400","$0","$11400","Gerry Connolly"
"1615","Wize Solutions","$11400","$0","$11400","Gerry Connolly"
"1616","Apex Covantage","$11200","$0","$11200","Gerry Connolly"
"1617","Dwe Enterprises","$1000","$0","$1000","Marty Cooke"
"1618","HCA Inc","$16600","$5000","$11600","Jim Cooper"
"1619","Vanderbilt University Medical Center","$14350","$0","$14350","Jim Cooper"
"1620","Tvv Capital","$8700","$0","$8700","Jim Cooper"
"1621","Transdigm Group","$7900","$5000","$2900","Jim Cooper"
"1622","American Federation of State/Cnty/Munic Employees","$7500","$7500","$0","Jim Cooper"
"1623","Raytheon Technologies","$6000","$6000","$0","Jim Cooper"
"1624","COLDWELL Banker Segroves-Neese Real Es","$5800","$0","$5800","Jim Cooper"
"1625","Curb Records","$5800","$0","$5800","Jim Cooper"
"1626","Lifepoint","$5800","$0","$5800","Jim Cooper"
"1627","Nhc","$5800","$0","$5800","Jim Cooper"
"1628","Bank of America","$2000","$0","$2000","Mike Corbin"
"1629","IT Computers","$2000","$0","$2000","Mike Corbin"
"1630","Brucker Funeral Home","$500","$0","$500","Mike Corbin"
"1631","Goldman Sachs","$2500","$0","$2500","Seth Corey"
"1632","J-Dash Realty LLC","$2000","$0","$2000","Seth Corey"
"1633","University of New Mexico","$1000","$0","$1000","Seth Corey"
"1634","Artbrands","$250","$0","$250","Seth Corey"
"1635","Children's Hospital of Philadel","$250","$0","$250","Seth Corey"
"1636","Reed Smith LLP","$250","$0","$250","Seth Corey"
"1637","University of Washington","$250","$0","$250","Seth Corey"
"1638","Democracy Engine","$16750","$0","$16750","Lou Correa"
"1639","Blue Cross/Blue Shield","$11500","$8500","$3000","Lou Correa"
"1640","Edwards Lifesciences","$11250","$10000","$1250","Lou Correa"
"1641","American Bankers Assn","$10000","$10000","$0","Lou Correa"
"1642","American Society of Anesthesiologists","$10000","$10000","$0","Lou Correa"
"1643","AT&T Inc","$10000","$10000","$0","Lou Correa"
"1644","Blue Dog PAC","$10000","$10000","$0","Lou Correa"
"1645","Border Health","$10000","$10000","$0","Lou Correa"
"1646","Carpenters & Joiners Union","$10000","$10000","$0","Lou Correa"
"1647","Communications Workers of America","$10000","$10000","$0","Lou Correa"
"1648","Forhan Co","$11600","$0","$11600","Jim Costa"
"1649","Wonderful Co","$11600","$0","$11600","Jim Costa"
"1650","PG&E Corp","$10999","$9999","$1000","Jim Costa"
"1651","Edison Electric Institute","$10500","$7500","$3000","Jim Costa"
"1652","American Bankers Assn","$10000","$10000","$0","Jim Costa"
"1653","American Crystal Sugar","$10000","$10000","$0","Jim Costa"
"1654","American Pistachio Growers","$10000","$10000","$0","Jim Costa"
"1655","Blue Diamond Growers","$10000","$10000","$0","Jim Costa"
"1656","Blue Dog PAC","$10000","$10000","$0","Jim Costa"
"1657","California Citrus Mutual","$10000","$10000","$0","Jim Costa"
"1658","Kch Enterprises","$5800","$0","$5800","Amy Ryan Courser"
"1659","Freres Lumber","$2900","$0","$2900","Amy Ryan Courser"
"1660","K&E Excavating","$2900","$0","$2900","Amy Ryan Courser"
"1661","Harvest Captial Co","$2500","$0","$2500","Amy Ryan Courser"
"1662","Arctic Storm Management Group","$500","$0","$500","Amy Ryan Courser"
"1663","Demeter Ag","$500","$0","$500","Amy Ryan Courser"
"1664","Door Components Inc","$500","$0","$500","Amy Ryan Courser"
"1665","Gc","$500","$0","$500","Amy Ryan Courser"
"1666","Durham Tech Community College","$400","$0","$400","Amy Ryan Courser"
"1667","Windshield Tech","$300","$0","$300","Amy Ryan Courser"
"1668","General Dynamics","$63475","$10000","$53475","Joe Courtney"
"1669","Cross Sound Ferry","$17400","$0","$17400","Joe Courtney"
"1670","Athena Health Care Systems","$16700","$0","$16700","Joe Courtney"
"1671","Seafarers International Union","$16480","$16480","$0","Joe Courtney"
"1672","Northlane Capital Partners","$11600","$0","$11600","Joe Courtney"
"1673","Frontline USA","$10400","$7500","$2900","Joe Courtney"
"1674","American Assn for Justice","$10000","$10000","$0","Joe Courtney"
"1675","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Joe Courtney"
"1676","American Federation of Teachers","$10000","$10000","$0","Joe Courtney"
"1677","American Israel Public Affairs Cmte","$10000","$10000","$0","Joe Courtney"
"1678","Ti Construction","$2500","$0","$2500","Carolyn Covell"
"1679","Ssi","$1500","$0","$1500","Carolyn Covell"
"1680","Harvest Rock Church","$1000","$0","$1000","Carolyn Covell"
"1681","Better Homes & Gardens Porches & Pla","$555","$0","$555","Carolyn Covell"
"1682","Refuge","$300","$0","$300","Carolyn Covell"
"1683","Acorn Campus Ventures","$0","$0","$0","TJ Cox"
"1684","Alexander Law Group (California)","$0","$0","$0","TJ Cox"
"1685","Ancor Information Management","$0","$0","$0","TJ Cox"
"1686","Ascension Health","$0","$0","$0","TJ Cox"
"1687","Bank Of America","$0","$0","$0","TJ Cox"
"1688","Bendich, Stobaugh & Strong","$0","$0","$0","TJ Cox"
"1689","Berger & Montague","$0","$0","$0","TJ Cox"
"1690","Brooksville Development LLC","$0","$0","$0","TJ Cox"
"1691","Bruin Biometrics","$0","$0","$0","TJ Cox"
"1692","Buchalter, a Professional Corp","$0","$0","$0","TJ Cox"
"1693","Risser Oil","$1000","$0","$1000","Frank Craft"
"1694","Democracy Engine","$142309","$0","$142309","Angie Craig"
"1695","University of Minnesota","$50082","$0","$50082","Angie Craig"
"1696","EMILY's List","$35531","$5000","$30531","Angie Craig"
"1697","Heartland Realty Investors","$33000","$0","$33000","Angie Craig"
"1698","Frontline USA","$32285","$7500","$24785","Angie Craig"
"1699","Blue Cross/Blue Shield","$24500","$18500","$6000","Angie Craig"
"1700","Medtronic Inc","$21806","$10000","$11806","Angie Craig"
"1701","UnitedHealth Group","$20300","$10000","$10300","Angie Craig"
"1702","Lockridge Grindal Nauen PLLP","$18450","$2000","$16450","Angie Craig"
"1703","State of Minnesota","$17440","$0","$17440","Angie Craig"
"1704","UnitedHealth Group","$94600","$2500","$92100","Mike Crapo"
"1705","Apollo Global Management","$80250","$10000","$70250","Mike Crapo"
"1706","Capital Group","$45000","$0","$45000","Mike Crapo"
"1707","BlackRock Inc","$39300","$0","$39300","Mike Crapo"
"1708","Pro-Israel America PAC","$37710","$0","$37710","Mike Crapo"
"1709","Blue Cross/Blue Shield","$36300","$16000","$20300","Mike Crapo"
"1710","American Israel Public Affairs Cmte","$32700","$7900","$24800","Mike Crapo"
"1711","Delta Air Lines","$32400","$7500","$24900","Mike Crapo"
"1712","NorPAC","$29300","$0","$29300","Mike Crapo"
"1713","Blackstone Group","$25700","$0","$25700","Mike Crapo"
"1714","Stephens Inc","$19900","$0","$19900","Rick Crawford"
"1715","Access Medical Clinic","$12100","$0","$12100","Rick Crawford"
"1716","USA Rice Federation","$11000","$11000","$0","Rick Crawford"
"1717","Union Pacific Corp","$10250","$10000","$250","Rick Crawford"
"1718","Eye of the Tiger PAC","$10000","$10000","$0","Rick Crawford"
"1719","Huck PAC","$10000","$10000","$0","Rick Crawford"
"1720","Majority Cmte PAC","$10000","$10000","$0","Rick Crawford"
"1721","National Beer Wholesalers Assn","$10000","$10000","$0","Rick Crawford"
"1722","National Cattlemen's Beef Assn","$10000","$10000","$0","Rick Crawford"
"1723","National Cotton Council","$10000","$10000","$0","Rick Crawford"
"1724","Huntsman Corp","$31100","$8000","$23100","Dan Crenshaw"
"1725","American Pro-Israel PAC","$19100","$0","$19100","Dan Crenshaw"
"1726","Kirkland & Ellis","$14650","$0","$14650","Dan Crenshaw"
"1727","Dx Service Co","$12900","$0","$12900","Dan Crenshaw"
"1728","UBS AG","$12900","$10000","$2900","Dan Crenshaw"
"1729","University of Texas","$11875","$0","$11875","Dan Crenshaw"
"1730","Corey Construction","$11800","$0","$11800","Dan Crenshaw"
"1731","ClearPath Foundation","$11600","$0","$11600","Dan Crenshaw"
"1732","Corza Health","$11600","$0","$11600","Dan Crenshaw"
"1733","Dimensional Fund Advisors","$11600","$0","$11600","Dan Crenshaw"
"1734","Holland & Hart","$40375","$2500","$37875","Jason Crow"
"1735","University of Colorado","$30613","$0","$30613","Jason Crow"
"1736","Brownstein, Hyatt et al","$15850","$0","$15850","Jason Crow"
"1737","DISH Network","$14150","$0","$14150","Jason Crow"
"1738","J Street","$14050","$3000","$11050","Jason Crow"
"1739","Palantir Technologies","$12500","$0","$12500","Jason Crow"
"1740","Sallyport Investments","$11600","$0","$11600","Jason Crow"
"1741","Haberfeld Assoc","$11400","$0","$11400","Jason Crow"
"1742","Considered Media","$11200","$0","$11200","Jason Crow"
"1743","American Assn for Justice","$10000","$10000","$0","Jason Crow"
"1744","Idex","$5700","$0","$5700","Rob Cruz"
"1745","Mike Anderson Chevrolet","$5000","$0","$5000","Rob Cruz"
"1746","Midway Dental","$4300","$0","$4300","Rob Cruz"
"1747","City of Chicago, IL","$2900","$0","$2900","Rob Cruz"
"1748","FirstGroup PLC","$2900","$0","$2900","Rob Cruz"
"1749","Stor-Loc","$2900","$0","$2900","Rob Cruz"
"1750","Hopewell Transportation","$2800","$0","$2800","Rob Cruz"
"1751","Bohne Crane Rental & Sales","$2500","$0","$2500","Rob Cruz"
"1752","Springfield Clinic","$2000","$0","$2000","Rob Cruz"
"1753","Deloitte LLP","$1200","$0","$1200","Rob Cruz"
"1754","Alexandria Real Estate Equities","$5000","$0","$5000","Desi Cuellar"
"1755","Pathway Services Inc","$2900","$0","$2900","Desi Cuellar"
"1756","Edward J Minskoff Equities","$1000","$0","$1000","Desi Cuellar"
"1757","Foursquare Healthcare","$800","$0","$800","Desi Cuellar"
"1758","Tempest Capital","$585","$0","$585","Desi Cuellar"
"1759","Arkansas Maxillofacial Surgery Center","$500","$0","$500","Desi Cuellar"
"1760","Boone Surgical","$500","$0","$500","Desi Cuellar"
"1761","Breathe","$500","$0","$500","Desi Cuellar"
"1762","Lighthouse Group","$500","$0","$500","Desi Cuellar"
"1763","Oliver Law Group","$500","$0","$500","Desi Cuellar"
"1764","Democracy Engine","$671031","$0","$671031","Henry Cuellar"
"1765","Lockton Companies","$21100","$5000","$16100","Henry Cuellar"
"1766","LHC Group","$21000","$10000","$11000","Henry Cuellar"
"1767","Southwest Business Corp","$20100","$8600","$11500","Henry Cuellar"
"1768","Starr-Camargo Bridge Co","$20100","$0","$20100","Henry Cuellar"
"1769","OSI Systems","$18500","$15000","$3500","Henry Cuellar"
"1770","Duty Free Americas","$17400","$0","$17400","Henry Cuellar"
"1771","Clarkson Aerospace","$16225","$0","$16225","Henry Cuellar"
"1772","ConocoPhillips","$15250","$15000","$250","Henry Cuellar"
"1773","Farm Credit Council","$15000","$15000","$0","Henry Cuellar"
"1774","Madison Project","$10000","$10000","$0","Loren Culp"
"1775","Wge","$7315","$0","$7315","Loren Culp"
"1776","Jzk Inc","$5800","$0","$5800","Loren Culp"
"1777","Harvey Ventures Group","$5000","$0","$5000","Loren Culp"
"1778","Save America","$5000","$5000","$0","Loren Culp"
"1779","Clear Creek Rv","$2900","$0","$2900","Loren Culp"
"1780","Electroimpact Inc","$2900","$0","$2900","Loren Culp"
"1781","Island Doctors","$2900","$0","$2900","Loren Culp"
"1782","Lynnwood Honda","$2900","$0","$2900","Loren Culp"
"1783","Thiel Capital","$2900","$0","$2900","Loren Culp"
"1784","University of Maryland","$2000","$0","$2000","Eric Curry"
"1785","Roi Training","$250","$0","$250","Eric Curry"
"1786","American Israel Public Affairs Cmte","$29150","$7900","$21250","John Curtis"
"1787","United Energy Workers Healthcare","$23600","$0","$23600","John Curtis"
"1788","Cowboy Partners","$22900","$0","$22900","John Curtis"
"1789","Blue Cross/Blue Shield","$21250","$20500","$750","John Curtis"
"1790","Comcast Corp","$14000","$14000","$0","John Curtis"
"1791","Coeur Mining","$13000","$13000","$0","John Curtis"
"1792","4life Research","$12900","$0","$12900","John Curtis"
"1793","KKR & Co","$12500","$12500","$0","John Curtis"
"1794","E Ventures Assoc","$12100","$0","$12100","John Curtis"
"1795","AstraZeneca PLC","$12000","$12000","$0","John Curtis"
"1796","Lallygone LLC","$500","$0","$500","Nick D'Agostino"
"1797","Steinsharpe LLC","$3150","$0","$3150","Ally Dalsimer"
"1798","Patagonia Works","$2900","$0","$2900","Ally Dalsimer"
"1799","LHP Capital LLC","$2800","$0","$2800","Ally Dalsimer"
"1800","Apple Inc","$1750","$0","$1750","Ally Dalsimer"
"1801","Baltimore County Dept of Health","$1000","$0","$1000","Ally Dalsimer"
"1802","Bayer AG","$1000","$0","$1000","Ally Dalsimer"
"1803","Larkspur Management","$1000","$0","$1000","Ally Dalsimer"
"1804","MongoDB Inc","$1000","$0","$1000","Ally Dalsimer"
"1805","Oasis Labs","$1000","$0","$1000","Ally Dalsimer"
"1806","Rowena Group","$1000","$0","$1000","Ally Dalsimer"
"1807","Burns Chevrolet Cadillac","$2900","$0","$2900","Teddy Daniels"
"1808","Fast Food Systems","$2900","$0","$2900","Teddy Daniels"
"1809","Maguire Products","$2900","$0","$2900","Teddy Daniels"
"1810","Red Fox Strategies LLC","$2900","$0","$2900","Teddy Daniels"
"1811","Uline Inc","$2900","$0","$2900","Teddy Daniels"
"1812","TE Connectivity","$2374","$0","$2374","Teddy Daniels"
"1813","Evangelical Comm Hospital","$2000","$0","$2000","Teddy Daniels"
"1814","Saeils Enterprises","$2000","$0","$2000","Teddy Daniels"
"1815","Spark Investment Management","$2000","$0","$2000","Teddy Daniels"
"1816","Pencor Services","$1900","$0","$1900","Teddy Daniels"
"1817","EMILY's List","$151096","$10000","$141096","Sharice Davids"
"1818","Democracy Engine","$123191","$0","$123191","Sharice Davids"
"1819","Frontline USA","$33630","$2500","$31130","Sharice Davids"
"1820","American Israel Public Affairs Cmte","$27010","$2900","$24110","Sharice Davids"
"1821","Blue Cross/Blue Shield","$26875","$2000","$24875","Sharice Davids"
"1822","University of Kansas","$20549","$0","$20549","Sharice Davids"
"1823","Democratic Congressional Campaign Cmte","$20300","$0","$20300","Sharice Davids"
"1824","J Street","$18025","$1000","$17025","Sharice Davids"
"1825","Secunda Family Foundation","$17400","$0","$17400","Sharice Davids"
"1826","Alphabet Inc","$17265","$0","$17265","Sharice Davids"
"1827","House Freedom Fund","$17800","$10000","$7800","Warren Davidson"
"1828","Middletown Tube Works","$12600","$0","$12600","Warren Davidson"
"1829","Entertrainment Junction","$11600","$0","$11600","Warren Davidson"
"1830","American Bankers Assn","$11000","$11000","$0","Warren Davidson"
"1831","Payward Inc","$10800","$0","$10800","Warren Davidson"
"1832","Auto Care Assn","$10000","$10000","$0","Warren Davidson"
"1833","Credit Union National Assn","$10000","$10000","$0","Warren Davidson"
"1834","Eye of the Tiger PAC","$10000","$10000","$0","Warren Davidson"
"1835","Majority Cmte PAC","$10000","$10000","$0","Warren Davidson"
"1836","Mortgage Bankers Assn","$10000","$10000","$0","Warren Davidson"
"1837","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Danny K Davis"
"1838","International Brotherhood of Electrical Workers","$10000","$10000","$0","Danny K Davis"
"1839","National Assn of Realtors","$10000","$10000","$0","Danny K Davis"
"1840","Operating Engineers Union","$10000","$10000","$0","Danny K Davis"
"1841","Missouri ACRE","$8500","$8500","$0","Danny K Davis"
"1842","AT&T Inc","$7500","$7500","$0","Danny K Davis"
"1843","Home Depot","$7500","$7500","$0","Danny K Davis"
"1844","Motley Rice LLC","$7500","$0","$7500","Danny K Davis"
"1845","National Multifamily Housing Council","$7500","$7500","$0","Danny K Davis"
"1846","National Rural Electric Cooperative Assn","$7500","$7500","$0","Danny K Davis"
"1847","Clay, Chapman et al","$500","$0","$500","Moe Davis"
"1848","Karbal Cohen Economou Silk","$500","$0","$500","Moe Davis"
"1849","Spriggs Law Firm","$500","$0","$500","Moe Davis"
"1850","University of North Carolina","$250","$0","$250","Moe Davis"
"1851","Votesane PAC","$89000","$0","$89000","Rodney Davis"
"1852","Herzog","$37000","$7500","$29500","Rodney Davis"
"1853","McDonald's Corp","$23050","$10000","$13050","Rodney Davis"
"1854","Marcus Foundation","$17400","$0","$17400","Rodney Davis"
"1855","Blackstone Group","$14500","$0","$14500","Rodney Davis"
"1856","Abbott Laboratories","$12900","$10000","$2900","Rodney Davis"
"1857","Motorola Solutions","$11800","$6000","$5800","Rodney Davis"
"1858","Illinois Corn Growers Assn","$11650","$10000","$1650","Rodney Davis"
"1859","Dimensional Fund Advisors","$11600","$0","$11600","Rodney Davis"
"1860","Fisher Investments","$11600","$0","$11600","Rodney Davis"
"1861","K Rowe Investments","$2900","$0","$2900","Antonio Daza"
"1862","Brown & Brown Insurance","$2500","$0","$2500","Antonio Daza"
"1863","Piedmont Healthcare","$2450","$0","$2450","Antonio Daza"
"1864","Alston & Bird","$2250","$0","$2250","Antonio Daza"
"1865","Civil Liberties List","$1000","$0","$1000","Antonio Daza"
"1866","Digicomm International","$1000","$0","$1000","Antonio Daza"
"1867","Elk Home","$1000","$0","$1000","Antonio Daza"
"1868","LEK Consulting","$1000","$0","$1000","Antonio Daza"
"1869","Levi Strauss & Co","$1000","$0","$1000","Antonio Daza"
"1870","Blue Cross/Blue Shield","$600","$0","$600","Antonio Daza"
"1871","Energy Transfer LP","$16469","$5000","$11469","Monica De La Cruz Hernandez"
"1872","Susan B Anthony List","$15200","$10000","$5200","Monica De La Cruz Hernandez"
"1873","America Reloaded PAC","$12500","$12500","$0","Monica De La Cruz Hernandez"
"1874","Cerberus Capital Management","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1875","Crow Holdings","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1876","Fisher Investments","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1877","Hanover Co","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1878","Rio Fresh","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1879","Western National Group","$11600","$0","$11600","Monica De La Cruz Hernandez"
"1880","Home Depot","$10350","$10000","$350","Monica De La Cruz Hernandez"
"1881","K Rowe Investments","$2900","$0","$2900","Katie Dean"
"1882","Katie Dean for Congress","$2900","$0","$2900","Katie Dean"
"1883","Dependable House Buyer","$2800","$0","$2800","Katie Dean"
"1884","Ashmi for Congress","$2000","$2000","$0","Katie Dean"
"1885","Riveter","$1500","$0","$1500","Katie Dean"
"1886","Dover Saddlery","$1305","$0","$1305","Katie Dean"
"1887","Albright Stonebridge Group","$1000","$0","$1000","Katie Dean"
"1888","Carter & Sloope Inc","$1000","$0","$1000","Katie Dean"
"1889","Freelance Horse Professional","$1000","$0","$1000","Katie Dean"
"1890","Patagonia Works","$1000","$0","$1000","Katie Dean"
"1891","Votesane PAC","$35500","$0","$35500","Madeleine Dean"
"1892","University Of Pennsylvania","$21900","$0","$21900","Madeleine Dean"
"1893","Ballard Spahr LLP","$16400","$7500","$8900","Madeleine Dean"
"1894","National Assn of Realtors","$13500","$10000","$3500","Madeleine Dean"
"1895","King & Spalding","$13050","$2500","$10550","Madeleine Dean"
"1896","Comcast Corp","$12800","$10000","$2800","Madeleine Dean"
"1897","NASDAQ Inc","$12000","$4000","$8000","Madeleine Dean"
"1898","Schroeder Consulting","$11000","$0","$11000","Madeleine Dean"
"1899","Wells Fargo","$10500","$10000","$500","Madeleine Dean"
"1900","National Education Assn","$10250","$9000","$1250","Madeleine Dean"
"1901","Princeton University","$2900","$0","$2900","Mike Decillis"
"1902","Thomson Reuters","$2900","$0","$2900","Mike Decillis"
"1903","Sierra Club","$2750","$0","$2750","Mike Decillis"
"1904","Nycid","$1000","$0","$1000","Mike Decillis"
"1905","Bill Duane & Assoc","$500","$0","$500","Mike Decillis"
"1906","Curemark LLP","$500","$0","$500","Mike Decillis"
"1907","New Penn Motor Express","$500","$0","$500","Mike Decillis"
"1908","City of New York, NY","$400","$0","$400","Mike Decillis"
"1909","Capstone Partners","$250","$0","$250","Mike Decillis"
"1910","Richmond University Medical Center","$250","$0","$250","Mike Decillis"
"1911","Democracy Engine","$50800","$0","$50800","Peter DeFazio"
"1912","Frontline USA","$14185","$0","$14185","Peter DeFazio"
"1913","State of Oregon","$11725","$0","$11725","Peter DeFazio"
"1914","Bollinger Shipyards","$11600","$0","$11600","Peter DeFazio"
"1915","Northlane Capital Partners","$11600","$0","$11600","Peter DeFazio"
"1916","Allegiant Travel Co","$9550","$0","$9550","Peter DeFazio"
"1917","J Street","$8700","$0","$8700","Peter DeFazio"
"1918","Smith, Dawson & Andrews","$8500","$0","$8500","Peter DeFazio"
"1919","Capitol Counsel","$7400","$0","$7400","Peter DeFazio"
"1920","Bohemian Foundation","$5800","$0","$5800","Peter DeFazio"
"1921","DISH Network","$15100","$3500","$11600","Diana DeGette"
"1922","Select Medical Holdings","$15000","$10000","$5000","Diana DeGette"
"1923","Chotin Group","$12350","$0","$12350","Diana DeGette"
"1924","Medquest Pharmacy","$11600","$0","$11600","Diana DeGette"
"1925","Pisces Inc","$11600","$0","$11600","Diana DeGette"
"1926","J Street","$11220","$3000","$8220","Diana DeGette"
"1927","Empower Pharmacy","$10800","$5000","$5800","Diana DeGette"
"1928","Abbott Laboratories","$10000","$10000","$0","Diana DeGette"
"1929","American Assn for Justice","$10000","$10000","$0","Diana DeGette"
"1930","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Diana DeGette"
"1931","DISH Network","$15100","$3500","$11600","Diana DeGette"
"1932","Select Medical Holdings","$15000","$10000","$5000","Diana DeGette"
"1933","Chotin Group","$12350","$0","$12350","Diana DeGette"
"1934","Medquest Pharmacy","$11600","$0","$11600","Diana DeGette"
"1935","Pisces Inc","$11600","$0","$11600","Diana DeGette"
"1936","J Street","$11220","$3000","$8220","Diana DeGette"
"1937","Empower Pharmacy","$10800","$5000","$5800","Diana DeGette"
"1938","Abbott Laboratories","$10000","$10000","$0","Diana DeGette"
"1939","American Assn for Justice","$10000","$10000","$0","Diana DeGette"
"1940","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Diana DeGette"
"1941","Lee Foundation","$1000","$0","$1000","Vic DeGrammont"
"1942","Comvest Properties","$500","$0","$500","Vic DeGrammont"
"1943","Master Spas","$250","$0","$250","Vic DeGrammont"
"1944","Lockheed Martin","$71450","$6000","$65450","Rosa L DeLauro"
"1945","American Israel Public Affairs Cmte","$36400","$4200","$32200","Rosa L DeLauro"
"1946","Yale University","$26972","$0","$26972","Rosa L DeLauro"
"1947","Alzheimer's Assn","$15800","$10000","$5800","Rosa L DeLauro"
"1948","USA Farm Worker PAC","$13000","$13000","$0","Rosa L DeLauro"
"1949","National Rural Electric Cooperative Assn","$12500","$12500","$0","Rosa L DeLauro"
"1950","Kolmar Group","$11800","$0","$11800","Rosa L DeLauro"
"1951","Hamsterhead Inc","$11600","$0","$11600","Rosa L DeLauro"
"1952","Cavarocchi Ruscio Dennis Assoc","$11500","$0","$11500","Rosa L DeLauro"
"1953","Marine Engineers Beneficial Assn","$11500","$11500","$0","Rosa L DeLauro"
"1954","Microsoft Corp","$38700","$2500","$36200","Suzan DelBene"
"1955","Amazon.com","$23450","$10000","$13450","Suzan DelBene"
"1956","Valve Corp","$20000","$0","$20000","Suzan DelBene"
"1957","Ballmer Group","$11600","$0","$11600","Suzan DelBene"
"1958","Bessemer Venture Partners","$11600","$0","$11600","Suzan DelBene"
"1959","Democracy Engine","$11600","$0","$11600","Suzan DelBene"
"1960","Kleiner, Perkins et al","$11600","$0","$11600","Suzan DelBene"
"1961","MPS Group","$11600","$0","$11600","Suzan DelBene"
"1962","Raikes Foundation","$11600","$0","$11600","Suzan DelBene"
"1963","Boeing Co","$10394","$9000","$1394","Suzan DelBene"
"1964","Democracy Engine","$93201","$0","$93201","Antonio Delgado"
"1965","Akin, Gump et al","$74105","$3250","$70855","Antonio Delgado"
"1966","Frontline USA","$40985","$5000","$35985","Antonio Delgado"
"1967","J Street","$22488","$0","$22488","Antonio Delgado"
"1968","Paul, Weiss et al","$21250","$0","$21250","Antonio Delgado"
"1969","Duff & Phelps","$20800","$0","$20800","Antonio Delgado"
"1970","Morgan Stanley","$17400","$0","$17400","Antonio Delgado"
"1971","GiveGreen United Action","$16928","$0","$16928","Antonio Delgado"
"1972","Boston Properties","$14500","$0","$14500","Antonio Delgado"
"1973","North Island","$14500","$0","$14500","Antonio Delgado"
"1974","EMILY's List","$257703","$5000","$252703","Val Demings"
"1975","University of California","$89378","$0","$89378","Val Demings"
"1976","Walt Disney Co","$48182","$2500","$45682","Val Demings"
"1977","Alphabet Inc","$46238","$1000","$45238","Val Demings"
"1978","University of Miami","$40934","$0","$40934","Val Demings"
"1979","University Of Florida","$34323","$0","$34323","Val Demings"
"1980","US Government","$31639","$0","$31639","Val Demings"
"1981","Comcast Corp","$29288","$5000","$24288","Val Demings"
"1982","Adventhealth","$27413","$0","$27413","Val Demings"
"1983","State of Florida","$27336","$0","$27336","Val Demings"
"1984","Pencoe","$6762","$0","$6762","John Dennis"
"1985","Schaller Tool & Die","$5600","$0","$5600","John Dennis"
"1986","Archer Auto Group","$5060","$0","$5060","John Dennis"
"1987","Compliance Envirosystems","$2800","$0","$2800","John Dennis"
"1988","Date Mining Services","$2800","$0","$2800","John Dennis"
"1989","Sequoia Orange Co","$2800","$0","$2800","John Dennis"
"1990","First American Financial Corp","$2000","$0","$2000","John Dennis"
"1991","Jack Schroeder Anderson LLC","$1250","$0","$1250","John Dennis"
"1992","Famlee Investment Co","$1000","$0","$1000","John Dennis"
"1993","Harry S Thomson Dds","$1000","$0","$1000","John Dennis"
"1994","Inhance Technologies","$250","$0","$250","Jeremy Dennison"
"1995","Run The World","$6570","$0","$6570","Eugene DePasquale"
"1996","Emjay Strategies","$5500","$0","$5500","Eugene DePasquale"
"1997","Commonwealth of Pennsylvania","$3420","$0","$3420","Eugene DePasquale"
"1998","Frost Brown Todd LLC","$2800","$0","$2800","Eugene DePasquale"
"1999","MPL Law Firm","$2500","$0","$2500","Eugene DePasquale"
"2000","Cooper House","$2000","$0","$2000","Eugene DePasquale"
"2001","Keystone Fund","$2000","$2000","$0","Eugene DePasquale"
"2002","Kalik & Assoc","$1784","$0","$1784","Eugene DePasquale"
"2003","Wellspan Health","$1550","$0","$1550","Eugene DePasquale"
"2004","Boilermakers Union","$1500","$1500","$0","Eugene DePasquale"
"2005","American Crystal Sugar","$10000","$10000","$0","Mark Desaulnier"
"2006","American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Mark Desaulnier"
"2007","American Federation of Teachers","$10000","$10000","$0","Mark Desaulnier"
"2008","Boilermakers Union","$10000","$10000","$0","Mark Desaulnier"
"2009","International Brotherhood of Electrical Workers","$10000","$10000","$0","Mark Desaulnier"
"2010","National Education Assn","$10000","$10000","$0","Mark Desaulnier"
