"Contributor","Total","PACs","Individuals","Senator"
"Joli Law Firm","$3500","$0","$3500","Darlene Swaffar"
"Investments Ltd","$2900","$0","$2900","Darlene Swaffar"
"Project Freedom PAC","$2900","$2900","$0","Darlene Swaffar"
"Advanced Home Health","$2837","$0","$2837","Darlene Swaffar"
"Swaffar for Congress","$2800","$0","$2800","Darlene Swaffar"
"One Sotheby's","$2750","$0","$2750","Darlene Swaffar"
"Desenze Dentistry & Assoc","$2700","$0","$2700","Darlene Swaffar"
"Mackenzie Capital Management","$23200","$0","$23200","Eric Swalwell"
"Kirkland & Ellis","$20300","$0","$20300","Eric Swalwell"
"Comcast Corp","$14775","$2500","$12275","Eric Swalwell"
"KPMG LLP","$13800","$7500","$6300","Eric Swalwell"
"Another Planet Entertainment","$13600","$0","$13600","Eric Swalwell"
"Walt Disney Co","$13350","$0","$13350","Eric Swalwell"
"American Israel Public Affairs Cmte","$12900","$7900","$5000","Eric Swalwell"
"Amazon.com","$12750","$10000","$2750","Eric Swalwell"
"Wachtell, Lipton et al","$12200","$0","$12200","Eric Swalwell"
"University of California","$11620","$0","$11620","Eric Swalwell"
"Assurant Inc","$250","$0","$250","Michael Swanson"
"Esri","$13100","$0","$13100","Mark Takano"
"University of California","$11600","$0","$11600","Mark Takano"
"Veterans United Home Loans","$11600","$0","$11600","Mark Takano"
"Anywhere Real Estate","$10520","$0","$10520","Mark Takano"
"International Brotherhood of Electrical Workers","$10480","$10000","$480","Mark Takano"
"American Crystal Sugar","$10000","$10000","$0","Mark Takano"
"American Federation of Teachers","$10000","$10000","$0","Mark Takano"
"Carpenters & Joiners Union","$10000","$10000","$0","Mark Takano"
"Communications Workers of America","$10000","$10000","$0","Mark Takano"
"Council of Insurance Agents & Brokers","$10000","$10000","$0","Mark Takano"
"Society of Kauffman Fellows","$5600","$0","$5600","Greg Tanaka"
"Experiencefirst","$5000","$0","$5000","Greg Tanaka"
"Alphabet Inc","$4088","$0","$4088","Greg Tanaka"
"Northern California Branch Aal","$3247","$0","$3247","Greg Tanaka"
"Crv","$2900","$0","$2900","Greg Tanaka"
"Gp","$2900","$0","$2900","Greg Tanaka"
"Huma Technologies","$2900","$0","$2900","Greg Tanaka"
"Kenetic","$2900","$0","$2900","Greg Tanaka"
"Merchant Adventure Investment","$2900","$0","$2900","Greg Tanaka"
"Slvc","$2900","$0","$2900","Greg Tanaka"
"Ohio State University","$6600","$0","$6600","Omar Tarazi"
"Amanda Services","$5600","$0","$5600","Omar Tarazi"
"Allied","$5000","$0","$5000","Omar Tarazi"
"Igg Alliance","$4800","$0","$4800","Omar Tarazi"
"Tcetra","$4500","$0","$4500","Omar Tarazi"
"Star Motor Sales","$2900","$0","$2900","Omar Tarazi"
"Anywhere Real Estate","$2800","$0","$2800","Omar Tarazi"
"International Academy","$2800","$0","$2800","Omar Tarazi"
"Majed Nounau Md","$2800","$0","$2800","Omar Tarazi"
"Premier Health","$2800","$0","$2800","Omar Tarazi"
"Azzur Group","$3150","$0","$3150","Hector Tavarez"
"Ppb Inc","$2200","$0","$2200","Hector Tavarez"
"Cape Regional","$1800","$0","$1800","Hector Tavarez"
"Mitre Corp","$1500","$0","$1500","Hector Tavarez"
"Jrc Plumbing","$1000","$0","$1000","Hector Tavarez"
"Atlanticare Health System","$750","$0","$750","Hector Tavarez"
"Hardrock Hotel & Casino Ac","$750","$0","$750","Hector Tavarez"
"Brandon Restoration","$600","$0","$600","Hector Tavarez"
"Oaf Nation","$600","$0","$600","Hector Tavarez"
"Sheet Metal, Air, Rail & Transportation Union","$600","$0","$600","Hector Tavarez"
"Website & Design","$1605","$0","$1605","Priscilla Taylor"
"Blue Water Construction","$1000","$0","$1000","Priscilla Taylor"
"Palm Beach Syaye University","$1000","$0","$1000","Priscilla Taylor"
"Heritage Carpet & Tile Co","$750","$0","$750","Priscilla Taylor"
"Gary, Dytrych et al","$500","$0","$500","Priscilla Taylor"
"Palm Beach County, FL","$500","$0","$500","Priscilla Taylor"
"Yukon Construction","$500","$0","$500","Priscilla Taylor"
"Bahr Brothers Manufacturing","$300","$0","$300","Priscilla Taylor"
"Reiter Law Firm et al","$300","$0","$300","Priscilla Taylor"
"2gho Inc","$250","$0","$250","Priscilla Taylor"
"Westlake City Schools","$100","$0","$100","Richard Taylor"
"Southeastern Jewelry & Pawn","$500","$0","$500","Tracy Taylor"
"Brad Lanier Oil Co","$250","$0","$250","Tracy Taylor"
"Votesane PAC","$152500","$0","$152500","Van Taylor"
"Democracy Engine","$63450","$0","$63450","Van Taylor"
"Advent International","$13700","$0","$13700","Van Taylor"
"Blackstone Group","$11600","$0","$11600","Van Taylor"
"Crump Energy Partners","$11600","$0","$11600","Van Taylor"
"Deason Capital Services","$10598","$0","$10598","Van Taylor"
"Capital One Financial","$10000","$10000","$0","Van Taylor"
"Liberty Mutual","$10000","$10000","$0","Van Taylor"
"UBS AG","$10000","$10000","$0","Van Taylor"
"Churchill Capital","$9500","$0","$9500","Van Taylor"
"American Israel Public Affairs Cmte","$28250","$10000","$18250","Claudia Tenney"
"Rock Holdings","$19400","$2000","$17400","Claudia Tenney"
"Susan B Anthony List","$17999","$3500","$14499","Claudia Tenney"
"E-PAC","$15000","$15000","$0","Claudia Tenney"
"Eye of the Tiger PAC","$15000","$15000","$0","Claudia Tenney"
"Majority Cmte PAC","$15000","$15000","$0","Claudia Tenney"
"Hubbard Broadcasting","$12900","$0","$12900","Claudia Tenney"
"Maggie's List","$11700","$6800","$4900","Claudia Tenney"
"Ball Ventures","$11600","$0","$11600","Claudia Tenney"
"Bluff Point Assoc","$11600","$0","$11600","Claudia Tenney"
"Navaid Partners","$5800","$0","$5800","Michael Ter Maat"
"Fdoc","$2900","$0","$2900","Michael Ter Maat"
"Consumer R E Funding","$650","$0","$650","Michael Ter Maat"
"Reason Foundation","$500","$0","$500","Michael Ter Maat"
"Mises PAC","$498","$498","$0","Michael Ter Maat"
"Metals & Coins","$355","$0","$355","Michael Ter Maat"
"Adci","$280","$0","$280","Michael Ter Maat"
"Microsoft Corp","$10285","$7500","$2785","Bennie G Thompson"
"Air Line Pilots Assn","$10000","$10000","$0","Bennie G Thompson"
"Altria Group","$10000","$10000","$0","Bennie G Thompson"
"American Crystal Sugar","$10000","$10000","$0","Bennie G Thompson"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Bennie G Thompson"
"American Waterways Operators","$10000","$10000","$0","Bennie G Thompson"
"AT&T Inc","$10000","$10000","$0","Bennie G Thompson"
"Deloitte LLP","$10000","$10000","$0","Bennie G Thompson"
"Laborers Union","$10000","$10000","$0","Bennie G Thompson"
"Land O'Lakes","$10000","$10000","$0","Bennie G Thompson"
"USA Rice Federation","$17499","$17499","$0","Glenn Thompson"
"Nulton Diagnostic & Treatment","$16900","$0","$16900","Glenn Thompson"
"Koch Industries","$12500","$10000","$2500","Glenn Thompson"
"FTX.US","$11600","$0","$11600","Glenn Thompson"
"Kriebel Minerals","$10900","$0","$10900","Glenn Thompson"
"Alabama Farmers Federation","$10500","$10000","$500","Glenn Thompson"
"Texas Cattle Feeders Assn","$10500","$10000","$500","Glenn Thompson"
"Southern Cotton Growers Inc","$10250","$10000","$250","Glenn Thompson"
"American Bankers Assn","$10000","$10000","$0","Glenn Thompson"
"American Cotton Shippers Assn","$10000","$10000","$0","Glenn Thompson"
"Schiff Insurance","$1000","$0","$1000","MacKenzie Thompson"
"Coast Lighting","$250","$0","$250","MacKenzie Thompson"
"Wright Patt Credit Union","$250","$0","$250","MacKenzie Thompson"
"Unlisted","$7425","$0","$7425","Michael Anthony Thompson"
"Arista Networks","$2600","$0","$2600","Michael Anthony Thompson"
"Gic Consulting Services Inc","$2000","$0","$2000","Michael Anthony Thompson"
"City of Chicago, IL","$1180","$0","$1180","Michael Anthony Thompson"
"Parent Co-Op for Early Learnin","$1175","$0","$1175","Michael Anthony Thompson"
"Meta","$1125","$0","$1125","Michael Anthony Thompson"
"Not Listed","$1050","$0","$1050","Michael Anthony Thompson"
"Asi Inc","$1000","$0","$1000","Michael Anthony Thompson"
"Mjt Holdings","$1000","$0","$1000","Michael Anthony Thompson"
"Adp","$700","$0","$700","Michael Anthony Thompson"
"Jackson Family Enterprises","$46469","$0","$46469","Mike Thompson"
"Gallo Winery","$19000","$0","$19000","Mike Thompson"
"Northwestern Mutual","$14250","$10000","$4250","Mike Thompson"
"Ernst & Young","$13003","$10000","$3003","Mike Thompson"
"Trinchero Family Estates","$12800","$0","$12800","Mike Thompson"
"Silver Oak Cellars","$11751","$0","$11751","Mike Thompson"
"Staglin Family Vineyards","$11702","$0","$11702","Mike Thompson"
"Wine Institute","$11306","$10000","$1306","Mike Thompson"
"Pisces Inc","$10800","$0","$10800","Mike Thompson"
"AFLAC Inc","$10000","$10000","$0","Mike Thompson"
"Votesane PAC","$177500","$0","$177500","John Thune"
"Sanford Health","$78500","$0","$78500","John Thune"
"American Israel Public Affairs Cmte","$61100","$2100","$59000","John Thune"
"Apollo Global Management","$46900","$7500","$39400","John Thune"
"Delta Air Lines","$45600","$7500","$38100","John Thune"
"NorPAC","$44311","$0","$44311","John Thune"
"Capital Group","$40000","$0","$40000","John Thune"
"Fidelity Investments","$36650","$8500","$28150","John Thune"
"Comcast Corp","$36550","$10000","$26550","John Thune"
"Goldman Sachs","$35000","$5000","$30000","John Thune"
"Southern Glazer's Wine & Spirits","$10000","$10000","$0","Perry Thurston"
"Law Offices of Daryl L Jones","$5800","$0","$5800","Perry Thurston"
"Siboney Contracting Co","$5009","$0","$5009","Perry Thurston"
"American Federation of Teachers","$5000","$5000","$0","Perry Thurston"
"Amscot Financial","$5000","$0","$5000","Perry Thurston"
"Cordish Co","$5000","$0","$5000","Perry Thurston"
"Costco Wholesale","$5000","$0","$5000","Perry Thurston"
"International Brotherhood of Electrical Workers","$5000","$5000","$0","Perry Thurston"
"Machinists/Aerospace Workers Union","$5000","$5000","$0","Perry Thurston"
"Mark Iii","$5000","$0","$5000","Perry Thurston"
"Ashley Furniture Industries","$11600","$0","$11600","Tom Tiffany"
"Masterson Co","$11600","$0","$11600","Tom Tiffany"
"TA Solberg Co","$11600","$0","$11600","Tom Tiffany"
"Uline Inc","$11600","$0","$11600","Tom Tiffany"
"American Israel Public Affairs Cmte","$10000","$10000","$0","Tom Tiffany"
"House Freedom Fund","$10000","$10000","$0","Tom Tiffany"
"Majority Cmte PAC","$10000","$10000","$0","Tom Tiffany"
"Associated Builders & Contractors","$9500","$9500","$0","Tom Tiffany"
"Northwestern Mutual","$8000","$8000","$0","Tom Tiffany"
"Abc Supply","$5800","$0","$5800","Tom Tiffany"
"Sugar Creek Packing","$20300","$0","$20300","Jane Timken"
"North American Properties","$19000","$0","$19000","Jane Timken"
"Cleveland Clinic","$17400","$0","$17400","Jane Timken"
"Kimball Midwest","$15800","$0","$15800","Jane Timken"
"Aultman Health Foundation","$15600","$0","$15600","Jane Timken"
"American Financial Group","$15500","$0","$15500","Jane Timken"
"Marathon Petroleum","$15281","$0","$15281","Jane Timken"
"Beaver Excavating","$13700","$0","$13700","Jane Timken"
"Kimble Companies","$12600","$0","$12600","Jane Timken"
"Schumacher Homes","$12600","$0","$12600","Jane Timken"
"American Israel Public Affairs Cmte","$19150","$7900","$11250","William Timmons"
"Security Finance","$13700","$2500","$11200","William Timmons"
"Southern Co","$11000","$10000","$1000","William Timmons"
"Mortgage Bankers Assn","$10500","$10000","$500","William Timmons"
"Apollo Global Management","$10200","$0","$10200","William Timmons"
"American Bankers Assn","$10000","$10000","$0","William Timmons"
"American Crystal Sugar","$10000","$10000","$0","William Timmons"
"American Financial Services Assn","$10000","$10000","$0","William Timmons"
"Duke Energy","$10000","$10000","$0","William Timmons"
"Ernst & Young","$10000","$10000","$0","William Timmons"
"Democracy Engine","$61780","$0","$61780","Dina Titus"
"EMILY's List","$25080","$5000","$20080","Dina Titus"
"American Israel Public Affairs Cmte","$24400","$7900","$16500","Dina Titus"
"University of Nevada","$17210","$0","$17210","Dina Titus"
"Honeywell International","$16600","$5000","$11600","Dina Titus"
"Frontline USA","$16012","$7500","$8512","Dina Titus"
"MGM Resorts International","$14150","$10000","$4150","Dina Titus"
"Porter Group","$12800","$0","$12800","Dina Titus"
"Terrible Herbst","$11600","$0","$11600","Dina Titus"
"Swing Left","$11428","$0","$11428","Dina Titus"
"Apple Inc","$15800","$0","$15800","Rashida Tlaib"
"Arab Community Center for Economic/Social Service","$15000","$0","$15000","Rashida Tlaib"
"Bigdash Commissary LLC","$12600","$0","$12600","Rashida Tlaib"
"University of California","$11667","$0","$11667","Rashida Tlaib"
"Arista Networks","$11600","$0","$11600","Rashida Tlaib"
"Ideal Market","$11600","$0","$11600","Rashida Tlaib"
"IDS Real Estate Group","$11600","$0","$11600","Rashida Tlaib"
"Pressure Grout Co","$11600","$0","$11600","Rashida Tlaib"
"Microsoft Corp","$9983","$0","$9983","Rashida Tlaib"
"Shifamed LLC","$8600","$0","$8600","Rashida Tlaib"
"Black Dog Management","$11600","$0","$11600","Spencer Toder"
"Ross & Baruzzini","$6550","$0","$6550","Spencer Toder"
"Compass Group Equity Partners","$5800","$0","$5800","Spencer Toder"
"BJC Medical Group","$2900","$0","$2900","Spencer Toder"
"G3n3 LLC","$2900","$0","$2900","Spencer Toder"
"Preferred Hardwood Flooring","$2900","$0","$2900","Spencer Toder"
"Ron Rubin Brands","$2900","$0","$2900","Spencer Toder"
"West County Rheumatology","$2900","$0","$2900","Spencer Toder"
"Music From the Hearts of Spce","$2700","$0","$2700","Spencer Toder"
"Nestle Purina","$2500","$0","$2500","Spencer Toder"
"Plug Power Inc","$28875","$0","$28875","Paul Tonko"
"National Grid plc","$11400","$10000","$1400","Paul Tonko"
"J Street","$11188","$1000","$10188","Paul Tonko"
"General Electric","$10050","$10000","$50","Paul Tonko"
"American Assn for Justice","$10000","$10000","$0","Paul Tonko"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Paul Tonko"
"American Federation of Teachers","$10000","$10000","$0","Paul Tonko"
"American Occupational Therapy Assn","$10000","$10000","$0","Paul Tonko"
"American Optometric Assn","$10000","$10000","$0","Paul Tonko"
"American Physical Therapy Assn","$10000","$10000","$0","Paul Tonko"
"John Alle Co","$2000","$0","$2000","Leah Toomim"
"Customized Recruiting Solution","$1550","$0","$1550","Leah Toomim"
"Shelander Enterprises","$500","$0","$500","Leah Toomim"
"B&K Moda","$150","$0","$150","Leah Toomim"
"American Humanist Assn","$500","$500","$0","David Torres"
"Lockheed Martin","$500","$0","$500","David Torres"
"SAP SE","$400","$0","$400","David Torres"
"Snyder For Colorado Leadership Fund","$400","$0","$400","David Torres"
"Netskope","$250","$0","$250","David Torres"
"Polaris Alpha","$250","$0","$250","David Torres"
"Snc","$250","$0","$250","David Torres"
"Greystar","$50","$0","$50","David Torres"
"Democracy Engine","$32450","$0","$32450","Norma Torres"
"National Assn of Letter Carriers","$12500","$12500","$0","Norma Torres"
"American Crystal Sugar","$10000","$10000","$0","Norma Torres"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Norma Torres"
"American Federation of Teachers","$10000","$10000","$0","Norma Torres"
"AT&T Inc","$10000","$10000","$0","Norma Torres"
"Carpenters & Joiners Union","$10000","$10000","$0","Norma Torres"
"Credit Union National Assn","$10000","$10000","$0","Norma Torres"
"Honeywell International","$10000","$10000","$0","Norma Torres"
"International Brotherhood of Electrical Workers","$10000","$10000","$0","Norma Torres"
"American Israel Public Affairs Cmte","$126308","$10000","$116308","Ritchie Torres"
"Democracy Engine","$81250","$0","$81250","Ritchie Torres"
"Blackstone Group","$52400","$0","$52400","Ritchie Torres"
"NorPAC","$47970","$0","$47970","Ritchie Torres"
"Elliott Management","$37680","$0","$37680","Ritchie Torres"
"Apollo Global Management","$37050","$0","$37050","Ritchie Torres"
"Kraft Group","$26100","$0","$26100","Ritchie Torres"
"Standard Industries","$26050","$0","$26050","Ritchie Torres"
"Arker Companies","$22750","$0","$22750","Ritchie Torres"
"BGC Partners","$20800","$0","$20800","Ritchie Torres"
"Royal Jewelers","$2936","$0","$2936","Gilead Towne"
"Northwest Biotherapeutics","$17400","$0","$17400","Lori Trahan"
"Ukg","$17400","$0","$17400","Lori Trahan"
"Greater Boston Urology","$15000","$0","$15000","Lori Trahan"
"Wingate Healthcare","$14600","$0","$14600","Lori Trahan"
"DataRobot Inc","$12310","$0","$12310","Lori Trahan"
"Bain Capital","$11600","$0","$11600","Lori Trahan"
"Triumvirate Environmental","$11600","$0","$11600","Lori Trahan"
"Avenue Solutions","$11300","$0","$11300","Lori Trahan"
"University of Massachusetts","$10930","$0","$10930","Lori Trahan"
"Granite Telecommunications","$10800","$0","$10800","Lori Trahan"
"New Horizons Pictures","$1000","$0","$1000","Brittany Trambauer-Smith"
"Stewart, Tilghman et al","$500","$0","$500","Brittany Trambauer-Smith"
"Wellstar Health System","$500","$0","$500","Brittany Trambauer-Smith"
"Flex Ltd","$250","$0","$250","Brittany Trambauer-Smith"
"Kennesaw State University","$250","$0","$250","Brittany Trambauer-Smith"
"Trail of Bits","$250","$0","$250","Brittany Trambauer-Smith"
"University of California","$250","$0","$250","Brittany Trambauer-Smith"
"Southern Glazer's Wine & Spirits","$23200","$0","$23200","David Trone"
"Allied Beverage Group","$17400","$0","$17400","David Trone"
"Caymus Vineyards","$17400","$0","$17400","David Trone"
"Buchanan, Ingersoll & Rooney","$11600","$0","$11600","David Trone"
"Sierra Nevada Corp","$11600","$0","$11600","David Trone"
"Southern Wine & Spirits","$11600","$0","$11600","David Trone"
"Menocal Medical Services","$6200","$0","$6200","David Trone"
"Bain Capital","$5800","$0","$5800","David Trone"
"Bluestem Asset Management","$5800","$0","$5800","David Trone"
"Dispact","$5800","$0","$5800","David Trone"
"State of Alaska","$34395","$0","$34395","Kelly Tshibaka"
"Saulsbury Industries","$31900","$0","$31900","Kelly Tshibaka"
"Parts Life","$20800","$0","$20800","Kelly Tshibaka"
"Petro 49","$17700","$0","$17700","Kelly Tshibaka"
"Deason Capital Services","$17400","$0","$17400","Kelly Tshibaka"
"Municipality of Anchorage, AK","$14615","$0","$14615","Kelly Tshibaka"
"Kirkland & Ellis","$13400","$0","$13400","Kelly Tshibaka"
"State Farm Insurance","$13105","$0","$13105","Kelly Tshibaka"
"Powers Brothers","$11610","$0","$11610","Kelly Tshibaka"
"Cruz Construction (Alaska)","$11600","$0","$11600","Kelly Tshibaka"
"Sugar Creek Packing","$25000","$0","$25000","Michael R Turner"
"American Israel Public Affairs Cmte","$19150","$7900","$11250","Michael R Turner"
"Hunt Development","$17400","$0","$17400","Michael R Turner"
"Berry Investments","$16800","$0","$16800","Michael R Turner"
"Caresource","$15000","$0","$15000","Michael R Turner"
"Lockheed Martin","$12900","$10000","$2900","Michael R Turner"
"Adams Robinson Enterprises","$12600","$0","$12600","Michael R Turner"
"Oberer Companies","$12600","$0","$12600","Michael R Turner"
"Heidelberg Distributing","$11950","$0","$11950","Michael R Turner"
"Sierra Nevada Corp","$11800","$6000","$5800","Michael R Turner"
"University of California","$19198","$0","$19198","Nina Turner"
"Eplanet Capital Advisors Us","$17400","$0","$17400","Nina Turner"
"Galloway Group (California)","$16100","$0","$16100","Nina Turner"
"Lehbros Ltd","$15500","$0","$15500","Nina Turner"
"University of Illinois","$13085","$0","$13085","Nina Turner"
"Windermere Real Estate","$10549","$0","$10549","Nina Turner"
"United Food & Commercial Workers Union","$10237","$10000","$237","Nina Turner"
"American Postal Workers Union","$10000","$10000","$0","Nina Turner"
"Courage to Change","$10000","$10000","$0","Nina Turner"
"Our Revolution PAC","$10000","$10000","$0","Nina Turner"
"Democracy Engine","$132030","$0","$132030","Lauren A Underwood"
"EMILY's List","$82477","$10000","$72477","Lauren A Underwood"
"Blue Cross/Blue Shield","$56896","$0","$56896","Lauren A Underwood"
"University of Chicago","$48560","$0","$48560","Lauren A Underwood"
"Northwestern University","$34366","$0","$34366","Lauren A Underwood"
"Digidems PAC","$25972","$3872","$22100","Lauren A Underwood"
"Alphabet Inc","$25153","$0","$25153","Lauren A Underwood"
"Kirkland & Ellis","$24819","$0","$24819","Lauren A Underwood"
"Frontline USA","$23985","$5000","$18985","Lauren A Underwood"
"University of California","$22980","$0","$22980","Lauren A Underwood"
"No Labels","$336258","$5000","$331258","Fred Upton"
"Rdv Corp","$19066","$0","$19066","Fred Upton"
"Blue Cross/Blue Shield","$11000","$11000","$0","Fred Upton"
"Continuing America's Strength & Security","$10000","$10000","$0","Fred Upton"
"Prescott Investors","$9108","$0","$9108","Fred Upton"
"Meijer Inc","$8700","$0","$8700","Fred Upton"
"Pfizer Inc","$7900","$7900","$0","Fred Upton"
"American College of Emergency Physicians","$7500","$7500","$0","Fred Upton"
"American College of Radiology","$7500","$7500","$0","Fred Upton"
"American Hospital Assn","$7500","$7500","$0","Fred Upton"
"Immigration Equality","$500","$0","$500","Marcos Urrea"
"Made Fur You","$500","$0","$500","Marcos Urrea"
"Weil, Gotshal & Manges","$500","$0","$500","Marcos Urrea"
"National Amusements Inc","$350","$0","$350","Marcos Urrea"
"Bertelsmann AG","$300","$0","$300","Marcos Urrea"
"Healthcare Rising","$222","$0","$222","Marcos Urrea"
"Blue Cross/Blue Shield","$15500","$14500","$1000","David Valadao"
"USA Rice Federation","$15000","$15000","$0","David Valadao"
"Granville Homes","$12600","$0","$12600","David Valadao"
"Advance Beverage","$11600","$0","$11600","David Valadao"
"ClearPath Foundation","$11600","$0","$11600","David Valadao"
"De Anza Properties","$11600","$0","$11600","David Valadao"
"Dimensional Fund Advisors","$11600","$0","$11600","David Valadao"
"Fisher Investments","$11600","$0","$11600","David Valadao"
"Lewis Edward","$11600","$0","$11600","David Valadao"
"Marcus Foundation","$11600","$0","$11600","David Valadao"
"State of Colorado","$3450","$0","$3450","Donald Valdez"
"Boulder Abortion Clinic","$2900","$0","$2900","Donald Valdez"
"Envision Management","$2900","$0","$2900","Donald Valdez"
"June Street Architecture","$2900","$0","$2900","Donald Valdez"
"K Rowe Investments","$2900","$0","$2900","Donald Valdez"
"Thomas A Barron LLC","$2800","$0","$2800","Donald Valdez"
"Fairfield & Woods","$2700","$0","$2700","Donald Valdez"
"Insight Partners","$2000","$0","$2000","Donald Valdez"
"Murray, Montgomery & O'Donnell","$2000","$0","$2000","Donald Valdez"
"The Gift Shop","$1900","$0","$1900","Donald Valdez"
"Springfield Clinic","$500","$0","$500","Rich Van Dam"
"Democracy Engine","$178783","$0","$178783","Jeff Van Drew"
"Lund's Fisheries","$24200","$0","$24200","Jeff Van Drew"
"American Israel Public Affairs Cmte","$13700","$7900","$5800","Jeff Van Drew"
"National Assn of Letter Carriers","$12500","$12500","$0","Jeff Van Drew"
"Shore Medical Center","$12200","$0","$12200","Jeff Van Drew"
"Fisher Investments","$11600","$0","$11600","Jeff Van Drew"
"Freshwave LLC","$11600","$0","$11600","Jeff Van Drew"
"Marcus Foundation","$11600","$0","$11600","Jeff Van Drew"
"Pan American Hotel LLC","$11600","$0","$11600","Jeff Van Drew"
"Western National Group","$11600","$0","$11600","Jeff Van Drew"
"American Airlines Group","$24405","$6000","$18405","Beth Van Duyne"
"Hillwood Development","$18999","$0","$18999","Beth Van Duyne"
"Deason Capital Services","$14500","$0","$14500","Beth Van Duyne"
"Insperity","$14500","$0","$14500","Beth Van Duyne"
"Celanese Corp","$12600","$1500","$11100","Beth Van Duyne"
"Goosehead Insurance","$12599","$0","$12599","Beth Van Duyne"
"Southland Holdings","$12100","$0","$12100","Beth Van Duyne"
"Berkshire Hathaway","$11800","$2500","$9300","Beth Van Duyne"
"Acellerated Interventional Orthopedics","$11600","$0","$11600","Beth Van Duyne"
"Affiliated Managers Group","$11600","$0","$11600","Beth Van Duyne"
"Votesane PAC","$106500","$0","$106500","Chris Van Hollen"
"J Street","$49130","$0","$49130","Chris Van Hollen"
"Leidos Inc","$46480","$7500","$38980","Chris Van Hollen"
"Gallagher, Evelius & Jones","$31350","$0","$31350","Chris Van Hollen"
"Deloitte LLP","$25750","$10000","$15750","Chris Van Hollen"
"Wilmerhale LLP","$24950","$0","$24950","Chris Van Hollen"
"ArentFox Schiff","$23150","$2500","$20650","Chris Van Hollen"
"Ciena Healthcare Management","$21200","$0","$21200","Chris Van Hollen"
"Holland & Knight","$18500","$2500","$16000","Chris Van Hollen"
"Johns Hopkins University","$17930","$0","$17930","Chris Van Hollen"
"International Brotherhood of Electrical Workers","$5500","$500","$5000","Jacob VandenPlas"
"Mnm Ventures Llc","$1000","$0","$1000","Jacob VandenPlas"
"McNulty Surveying & Mapping","$500","$0","$500","Jacob VandenPlas"
"Ferrellgas","$400","$0","$400","Jacob VandenPlas"
"American Israel Public Affairs Cmte","$51100","$7900","$43200","Juan Vargas"
"Elliott Management","$32580","$0","$32580","Juan Vargas"
"Elm Grove Strategies LLC","$11600","$0","$11600","Juan Vargas"
"American Crystal Sugar","$10000","$10000","$0","Juan Vargas"
"American Institute of CPAs","$10000","$10000","$0","Juan Vargas"
"Carpenters & Joiners Union","$10000","$10000","$0","Juan Vargas"
"Ernst & Young","$10000","$10000","$0","Juan Vargas"
"LPL Financial Holdings","$10000","$10000","$0","Juan Vargas"
"Machinists/Aerospace Workers Union","$10000","$10000","$0","Juan Vargas"
"National Assn of Realtors","$10000","$10000","$0","Juan Vargas"
"American Pro-Israel PAC","$25900","$0","$25900","Marc Veasey"
"Rock Holdings","$20400","$5000","$15400","Marc Veasey"
"Q Investments","$15800","$10000","$5800","Marc Veasey"
"Mary Kay Holding Corp","$14400","$0","$14400","Marc Veasey"
"Lockheed Martin","$13100","$10000","$3100","Marc Veasey"
"Bonanza Oil","$11500","$0","$11500","Marc Veasey"
"Dell Technologies","$11500","$10000","$1500","Marc Veasey"
"Witherite Law Group","$11400","$0","$11400","Marc Veasey"
"L3Harris Technologies","$11000","$11000","$0","Marc Veasey"
"American Airlines Group","$10500","$9500","$1000","Marc Veasey"
"Metropolitan Recycling","$16600","$0","$16600","Nydia Velazquez"
"J Street","$12168","$1000","$11168","Nydia Velazquez"
"Union Square Ventures","$12100","$0","$12100","Nydia Velazquez"
"American Dental Assn","$10000","$10000","$0","Nydia Velazquez"
"American Federation of State/Cnty/Munic Employees","$10000","$10000","$0","Nydia Velazquez"
"American Federation of Teachers","$10000","$10000","$0","Nydia Velazquez"
"American Rental Assn","$10000","$10000","$0","Nydia Velazquez"
"National Assn of Realtors","$10000","$10000","$0","Nydia Velazquez"
"National Multifamily Housing Council","$10000","$10000","$0","Nydia Velazquez"
"Small Business Investor Alliance","$10000","$10000","$0","Nydia Velazquez"
"Arista Networks","$11600","$0","$11600","Amy Vilela"
"Alphabet Inc","$5464","$0","$5464","Amy Vilela"
"State Of California","$3505","$0","$3505","Amy Vilela"
"NG Investments","$2900","$0","$2900","Amy Vilela"
"Silly Goose Productions","$2900","$0","$2900","Amy Vilela"
"The Wellesley Group","$2900","$0","$2900","Amy Vilela"
"Progressives Consulting","$2727","$0","$2727","Amy Vilela"
"Barrier to Entry PAC","$2500","$2500","$0","Amy Vilela"
"Casitas Strategies LLC","$2000","$0","$2000","Amy Vilela"
"Cori Bush for Congress","$2000","$2000","$0","Amy Vilela"
"C& M Metals","$5800","$0","$5800","Lucie Volotzky"
"Huck PAC","$5000","$5000","$0","Lucie Volotzky"
"Waag","$1500","$0","$1500","Lucie Volotzky"
"Dba: Joseph Lynch","$1000","$0","$1000","Lucie Volotzky"
"Zacky Farms","$1000","$0","$1000","Lucie Volotzky"
"Jacobi Building Materials","$800","$0","$800","Lucie Volotzky"
"Dba; Don Larson","$700","$0","$700","Lucie Volotzky"
"Outsource Marketing Group","$500","$0","$500","Lucie Volotzky"
"Protection Alarms","$500","$0","$500","Lucie Volotzky"
